track_id,cluster_vae,true_genre,language
A050,2,-1,-1
A051,2,-1,-1
A052,2,-1,-1
A055,2,-1,-1
A058,2,-1,-1
A060,2,-1,-1
A061-66,2,-1,-1
A062-170,2,-1,-1
A063-90,2,-1,-1
A064-116,2,-1,-1
A066-140,2,-1,-1
A067-104,2,-1,-1
A068-167,2,-1,-1
A071-70,2,-1,-1
A073-143,2,-1,-1
A074-91,2,-1,-1
A077-122,2,-1,-1
A078-173,2,-1,-1
A080-92,2,-1,-1
A081-67,2,-1,-1
A082-93,2,-1,-1
A083-158,2,-1,-1
A084-75,2,-1,-1
A085-69,2,-1,-1
A086-123,2,-1,-1
A087-165,2,-1,-1
A088-136,2,-1,-1
A090-94,2,-1,-1
A091-95,2,-1,-1
A092-96,2,-1,-1
A094-110,2,-1,-1
A095-113,2,-1,-1
A096-68,2,-1,-1
A097-152,2,-1,-1
A098-154,2,-1,-1
A100-124,2,-1,-1
A101-111,2,-1,-1
A102-114,2,-1,-1
A103-99,2,-1,-1
A104-119,2,-1,-1
A105-117,2,-1,-1
A106-100,2,-1,-1
A107-115,2,-1,-1
A109-138,2,-1,-1
A111-141,2,-1,-1
A114-120,2,-1,-1
A115-84,2,-1,-1
A116-135,2,-1,-1
A117-76,2,-1,-1
A119-151,2,-1,-1
A120-168,2,-1,-1
A126-77,2,-1,-1
A127-133,2,-1,-1
A128-109,2,-1,-1
A130-162,2,-1,-1
A131-101,2,-1,-1
A132-121,2,-1,-1
A134-142,2,-1,-1
A136-97,2,-1,-1
A137-153,2,-1,-1
A140-166,2,-1,-1
A141-139,2,-1,-1
A142-98,2,-1,-1
A143-72,2,-1,-1
A145-134,2,-1,-1
A146-118,2,-1,-1
A147-169,2,-1,-1
A148-102,2,-1,-1
A150-132,2,-1,-1
A151-172,2,-1,-1
A152-108,2,-1,-1
A153-130,2,-1,-1
A157-71,2,-1,-1
A159-164,2,-1,-1
A160-149,2,-1,-1
A162,2,-1,-1
A165,2,-1,-1
A166,2,-1,-1
A167,2,-1,-1
A168,2,-1,-1
A170,2,-1,-1
A171,2,-1,-1
A172,2,-1,-1
A174,2,-1,-1
A176,2,-1,-1
A177,2,-1,-1
A178,2,-1,-1
A179,2,-1,-1
A182,2,-1,-1
A183,2,-1,-1
A186,2,-1,-1
A187,2,-1,-1
A188,2,-1,-1
A190,2,-1,-1
A191,2,-1,-1
A192,2,-1,-1
A193,2,-1,-1
A194,2,-1,-1
A195,2,-1,-1
A196,2,-1,-1
A198,2,-1,-1
ABC,0,56,-1
Abominable Snowman in the Market,0,102,-1
Above the Pyramid and the Eye,0,56,-1
"Abraham, Martin and John",0,61,-1
Absence of the Heart,0,42,-1
Ac-Cent-Tchu-Ate the Positive,0,153,-1
Aces High,0,21,-1
Acid With Acid - Piece by Piece,0,56,-1
Adam and Eve,0,120,-1
Adeste Infidelis,0,56,-1
Africa Unite,0,120,-1
"After Dollars, No Cents",0,117,-1
Ain't Going Down (Til the Sun Comes Up),0,42,-1
Ain't Got No Class,0,117,-1
Ain't Life Grand,0,117,-1
Ain't No Mountain High Enough,0,116,-1
Ain't No Santa,0,117,-1
Ain't Nothin' But Love,0,102,-1
Albedo 0.39,0,56,-1
All Day Long,0,102,-1
All Fall Down,0,102,-1
All Good Things,0,42,-1
All I Want for Christmas Is You,0,78,-1
All I Want for Christmas Is a Real Good Tan,0,42,-1
All Night Long,0,116,-1
All Night Long (All Night),0,2,-1
All Over You,0,102,-1
All Souls Night,0,85,-1
All Through the Night,0,86,-1
All Together Now,0,102,-1
All You Ever Think About Is Sex,0,102,-1
All for You,0,102,-1
All of Me,0,117,-1
All over Town,0,42,-1
All the Things You Are,0,140,-1
Allegiance,0,102,-1
Almost Grown,0,102,-1
Alright,0,42,-1
Altar of Sacrifice,0,102,-1
Always There,0,56,-1
Amateur Hour,0,56,-1
Ambition,0,56,-1
AmeriKKKa's Most Wanted,0,65,-1
American Buttfuckers,0,102,-1
American High,0,102,-1
American Mary,0,102,-1
American Triangle,0,102,-1
American Tune,0,42,-1
American Werewolves in London,0,56,-1
Amity,0,102,-1
Among the Living,0,102,-1
Amusement Parks U.S.A.,0,56,-1
And Now My Lifesong Sings,0,122,-1
And So Is Life,0,56,-1
Angel,0,1,-1
Angel Band,0,42,-1
Angela,0,102,-1
Angels Among Us,0,42,-1
Angelskingarden,0,56,-1
Animal,0,4,-1
Animal City,0,56,-1
Animal Farm,0,9,-1
Animal Farm [Mono Version],0,102,-1
Another Day,0,61,-1
Another Day (That Time Forgot),0,102,-1
Another Nigger in the Morgue,0,117,-1
Another Victim,0,102,-1
Anti Christ,0,56,-1
Anti-Social,0,102,-1
Apocalypse Politics,0,85,-1
Apotemnophiliac,0,85,-1
April Come She Will,0,61,-1
Architecture of Aggression,0,77,-1
Architecture of a Genocidal Nature,0,102,-1
"Are You Okay, Kiddo?",0,56,-1
Are You Teasing Me,0,42,-1
Aria,0,32,-1
Armed Robbery,0,117,-1
Around and Around,0,18,-1
Artificial Girl,0,102,-1
As,0,85,-1
As Usual,0,42,-1
As the Palaces Burn,0,56,-1
Ashes,0,56,-1
At Last,0,56,-1
August,0,102,-1
Authority,0,102,-1
Avril au Portugal,0,102,-1
"Aw Shucks, Hush Your Mouth",0,18,-1
Babe,0,56,-1
Baby Baby Baby Baby Ooh Baby,0,117,-1
Baby Don't Do It,0,120,-1
Baby Face,0,102,-1
Baby I'm Burnin',0,42,-1
Baby Please Don't Go,0,18,-1
Baby You Don't Want Me,0,18,-1
Baby a Go-Go,0,116,-1
Baby!,0,18,-1
"Baby, Baby All the Time",0,86,-1
"Baby, I'm for Real",0,116,-1
"Baby, Now That I've Found You",0,42,-1
"Baby, What You Want Me to Do",0,18,-1
"Baby, What's on Your Mind",0,18,-1
Bacdafucup,0,117,-1
Back to One,0,102,-1
Back to the Primitive,0,56,-1
Backwards Over Germany,0,85,-1
Bad Dreams,0,86,-1
Bad Influence,0,117,-1
Bad Luck Blues,0,18,-1
Bad Omen,0,102,-1
Badda Dan Dem,0,120,-1
Bail Out,0,102,-1
Bailamos,0,88,-1
Ballad of the Sad Young Men,0,86,-1
Baltimore Fire,0,42,-1
Bananza (Belly Dancer),0,56,-1
Bandstand Boogie,0,102,-1
Bang Bang,0,88,-1
Barstool Cowboy from Old Barstow,0,35,-1
Battery,0,102,-1
Be Mine,0,85,-1
Be My Baby,0,116,-1
Be My Yoko Ono,0,102,-1
Be Thou Near to Me,0,97,-1
Be-Bop-A-Lula,0,102,-1
Be-Bop-A-Lula '69,0,102,-1
Beast and the Harlot,0,102,-1
Beat the Bastards,0,102,-1
Beautiful Boy,0,29,-1
Beautiful Day,0,40,-1
Beautiful Horses,0,102,-1
Beautiful Life,0,56,-1
Beauty Is Only Skin Deep,0,116,-1
Beauty Through Order,0,102,-1
Beauty from the Past,0,56,-1
Beep,0,56,-1
Beer Barrel Polka,0,55,-1
Beer Run,0,42,-1
Beer Run (B-Double E-Double Are You In?),0,42,-1
Beer for My Horses,0,42,-1
Before Sleep Comes,0,61,-1
Being Ignorant Is Awesome,0,102,-1
Believe in Humanity,0,102,-1
Believe in Life,0,102,-1
Beltane Walk,0,102,-1
Beneath the Crimson Vaults of Cydonia,0,85,-1
Berkertex Bribe,0,102,-1
Better Living Through Catastrophe,0,85,-1
Between Me and You,0,117,-1
Beware,0,117,-1
Beyond Good & Evil,0,85,-1
Beyond a Doubt,0,56,-1
Bichasniguz,0,117,-1
Big Bad Bill,0,35,-1
Big Mouth,0,102,-1
Billie's Blues,0,86,-1
Black Coffee,0,56,-1
Black Curtains,0,102,-1
Black Forest II,0,102,-1
Black Metal,0,102,-1
Black Spider Blues,0,18,-1
Black and Blue,0,102,-1
"Black, Brown and White",0,18,-1
Blackbird,0,102,-1
Blackie's Dead,0,102,-1
Blandest,0,102,-1
"Bleed Like a Craze, Dad",0,56,-1
Blind,0,117,-1
Blood Sun,0,120,-1
Blood and Thunder,0,102,-1
Blood of Heroes,0,102,-1
Blow It Out,0,56,-1
Blue,0,42,-1
Blue Christmas,0,78,-1
Blue Heaven Rendezvous,0,102,-1
Blue Hotel,0,42,-1
Blue Ink,0,42,-1
Blue Moon With Heartache,0,37,-1
Blue You,0,102,-1
Blues Music,0,102,-1
Bob Dylan's Blues,0,61,-1
Body Movin',0,102,-1
Boggie Woogie Woman,0,18,-1
Bojangles of Harlem,0,140,-1
Book of Rules,0,120,-1
Born Again,0,42,-1
Born In The U.S.A.,0,3,-1
Boston Babies,0,102,-1
Boto (W) Rap,0,102,-1
Brazilian Rhyme,0,116,-1
Break Down,0,56,-1
"Break Me, Shake Me",0,56,-1
Break Yourself,0,117,-1
Breakdown,0,56,-1
"Breathe in, Breathe Out, Move On",0,102,-1
Breathless,0,56,-1
Breed Apart,0,85,-1
Brick,0,1,-1
Bridge,0,102,-1
Brigade Song,0,102,-1
Bring 'Em on In,0,18,-1
Bring Your Whole Crew,0,54,-1
Bring the Noise,0,102,-1
Broke,0,102,-1
Broke Willies,0,117,-1
Broken Strings,0,1,-1
Bron-Y-Aur Stomp,0,102,-1
Brooks Wuz Here,0,102,-1
Brother,0,102,-1
Brother Harold Dee,0,42,-1
"Brother, Can You Spare a Dime?",0,86,-1
Build Me Up,0,116,-1
Bullet Train,0,56,-1
Bullet With Your Name,0,6,-1
Burger Queen,0,102,-1
Buried with Children,0,56,-1
Burn the Lies,0,102,-1
Burning Flag,0,56,-1
Burning Up,0,56,-1
But Beautiful,0,86,-1
Butterfly,0,102,-1
By Heart,0,97,-1
By Her Side [Acoustic Version],0,42,-1
By the Water,0,18,-1
Bye Bye Bye,0,56,-1
Cabaret,0,140,-1
Caldonia,0,86,-1
Caldonia (What Makes Your Big Head So Hard?),0,86,-1
California Girls,0,15,-1
California Saga (On My Way to Sunny Califon-I-A),0,102,-1
California Stars,0,61,-1
California Sunset,0,42,-1
Call My Name,0,18,-1
Call to Arms,0,85,-1
Camouflage & Murder,0,117,-1
Can You Stand the Rain,0,56,-1
Can't Even Get the Blues No More,0,42,-1
Can't Help Lovin' Dat Man,0,18,-1
Can't Stand You,0,102,-1
Can't Tame the Lion,0,102,-1
Canadian Sunset,0,153,-1
Candle on the Water,0,140,-1
Candyman,0,102,-1
Cannibal Cafe,0,102,-1
Captive Honour,0,77,-1
Caravan,0,86,-1
Cardiff,0,102,-1
Care,0,102,-1
Caribbean Amphibian,0,29,-1
Casey's Last Ride,0,42,-1
Casualty Vampires,0,102,-1
Catatonic,0,102,-1
Cause of Death,0,102,-1
Celebration,0,33,-1
Celtic Ray,0,102,-1
Certified Samurai,0,117,-1
Chances Are,0,153,-1
Changes,0,55,-1
Chapel Perilous,0,85,-1
Chapter 24,0,12,-1
Charagma,0,85,-1
Charlie,0,102,-1
Cheapest Kind,0,42,-1
Cherry,0,55,-1
Cherry Kiss,0,102,-1
Cherry Pickin' Blues,0,18,-1
Chico and the Man,0,102,-1
China Roses,0,0,-1
Choppa Style,0,117,-1
Chords of Fame,0,102,-1
Chosen Race,0,102,-1
Christmas Dreaming (A Little Early This Year),0,78,-1
Christmas Lullaby,0,102,-1
Christmas Night in Harlem,0,78,-1
Christmas Song (Chestnuts Roasting on an Open Fire),0,78,-1
Christmas Time (Greensleeves),0,35,-1
Chrome & Paint,0,117,-1
Circle of Friends,0,97,-1
Circles and X's,0,42,-1
City of Light Restrung,0,117,-1
Cleansing,0,56,-1
Click Click Boom,0,85,-1
"Click, Clack - Get Back!",0,117,-1
"Cold, Cold Feeling",0,18,-1
Colors,0,117,-1
Columbus Stockade,0,61,-1
Come 2 Me,0,56,-1
Come Fly With Me,0,86,-1
Come Go with Me,0,102,-1
Come Together,0,122,-1
Come on Over (All I Want Is You),0,102,-1
Come to Rest,0,56,-1
Concetta,0,78,-1
Confusion,0,102,-1
Conga,0,56,-1
"Congratulations, I Hate You",0,4,-1
Consfearacy,0,56,-1
Contaminated,0,85,-1
Control (Video Mix),0,56,-1
Cool Drink of Water,0,42,-1
Corpse Is Corpse,0,56,-1
Count to Six and Die (The Vacuum of Infinite Space Encompassing),0,102,-1
Countdown to Extinction,0,77,-1
Country Boy,0,120,-1
Country Comfort,0,102,-1
Cover to Cover,0,42,-1
Cowboy Star,0,102,-1
Cowboys Like Us,0,42,-1
Crack Hitler,0,102,-1
Cranked up Really High,0,102,-1
Crazy,0,85,-1
Crazy He Calls Me,0,86,-1
Crazy in Love,0,102,-1
Cream,0,102,-1
Create Me,0,102,-1
Creation,0,120,-1
Creep,0,4,-1
Crime Story,0,116,-1
Crimson Moon,0,102,-1
Crimson Snow,0,85,-1
Critical Mass,0,102,-1
Crossfire,0,102,-1
Cruisin',0,102,-1
Crush,0,102,-1
Cryin' Mood,0,86,-1
Crying,0,102,-1
Crypts of Eternity,0,102,-1
Crystal Skull,0,102,-1
Cut It Dude,0,102,-1
Da Booty,0,117,-1
Da Mystery of Chessboxin',0,117,-1
Da Ya Think I'm Sexy?,0,56,-1
Da' Dip,0,56,-1
Daddy's Home,0,116,-1
"Daddy, When Is Mommy Coming Home",0,42,-1
Dance With My Father,0,2,-1
Dance with Me,0,88,-1
Dancing Days,0,3,-1
Dancing Queen,0,39,-1
Dancing in the Street,0,67,-1
Dancing with another man,0,102,-1
"Danger, Heartbreak Dead Ahead",0,116,-1
Danke Schoen,0,102,-1
Darkness of Christ,0,102,-1
"Darling, You Know I Wouldn't Lie",0,42,-1
Day-O (Banana Boat Song),0,85,-1
Dead Bodies Everywhere,0,6,-1
Dead Men Don't Rape,0,102,-1
Dead Ringer for Love,0,102,-1
Dead Stop,0,102,-1
Dead and Gone,0,102,-1
Deadly Intentions,0,102,-1
Death,0,56,-1
Death Letter Blues,0,18,-1
"Death Letter Blues, Pt. 2",0,18,-1
Death of Samantha,0,61,-1
Deathplay,0,56,-1
Decadent Messiah,0,85,-1
Decapitated,0,102,-1
Decent Days and Nights,0,102,-1
Dedicated,0,117,-1
Dedicated to You,0,18,-1
Dedication,0,56,-1
Deeper and Deeper,0,56,-1
Deeper and Deeper [Album Edit],0,56,-1
Deeper and Deeper [Shep's Fierce Deeper Dub],0,56,-1
Delta Momma Blues,0,42,-1
Desert Rain,0,102,-1
Desire Me,0,102,-1
Desired Constellation,0,56,-1
Desperate,0,56,-1
Deth Kult Social Club,0,102,-1
Dig You Later,0,153,-1
Dimming of the Day,0,61,-1
Dinner Bells,0,102,-1
Dirge Inferno,0,56,-1
Dirrty,0,56,-1
Dirt,0,56,-1
Dirty Mack,0,117,-1
Dirty Mind,0,56,-1
Disappear,0,73,-1
Discharged Reason,0,102,-1
Disciples of Hell,0,56,-1
Disease of Conceit,0,102,-1
Disintegration/Free Money,0,102,-1
Divine,0,116,-1
Divorce Song,0,102,-1
Dixie Lily,0,102,-1
Do It All Night,0,56,-1
Do It Well,0,102,-1
Do You Believe in Love,0,102,-1
Do You Hear What I Hear?,0,42,-1
Do You Remember,0,102,-1
Do You Remember Rock & Roll Radio?,0,102,-1
Do You Remember?,0,39,-1
Do You Wanna Dance,0,39,-1
Does Anybody Hear Her,0,122,-1
Does It Show,0,42,-1
Does This System Work,0,102,-1
Dog & Butterfly,0,102,-1
Don't Be Light,0,56,-1
Don't Blow Your Top,0,56,-1
Don't Cha,0,56,-1
Don't Explain,0,86,-1
Don't Fade Away,0,86,-1
Don't Get Caught,0,102,-1
Don't Get Caught Slippin,0,117,-1
Don't Go Breaking My Heart,0,85,-1
Don't Go to Sleep Without Me,0,102,-1
Don't Have the Cow,0,102,-1
Don't Hold Back,0,102,-1
"Don't Leave, I Think I Love You",0,42,-1
Don't Let Me Lose This Dream,0,102,-1
Don't Rain on My Parade,0,102,-1
Don't Say Goodbye,0,56,-1
Don't Stop,0,56,-1
Don't Tell Me,0,56,-1
Don't Throw Your Love on Me So Strong,0,18,-1
Done Got Old,0,18,-1
Door Peep,0,102,-1
Dope Hat,0,102,-1
Down Payment Blues,0,102,-1
Dr. Piranha,0,56,-1
Drag City,0,102,-1
Drama,0,102,-1
Dread and the Fugitive Mind,0,77,-1
Dreaming in Red,0,56,-1
Dreamland,0,120,-1
Dreamland Express,0,42,-1
Dreams,0,85,-1
Drive My Car,0,86,-1
Driving,0,102,-1
Droppin' Plates,0,102,-1
Drugs Of Youth,0,102,-1
Drunk on a Bike,0,102,-1
Dry Lips,0,102,-1
Duck & Run,0,117,-1
Dude,0,120,-1
Dudes,0,120,-1
Duppy Conqueror,0,120,-1
Dying in the Sun,0,1,-1
Dynamite,0,102,-1
Each Time (I Love You More),0,56,-1
Early Mornin',0,102,-1
Early in the Morning,0,18,-1
Earth by Invitation Only,0,102,-1
East of the Sun,0,86,-1
East of the Sun (And West of the Moon),0,86,-1
Easy Money,0,102,-1
Eat You Alive,0,85,-1
Eight Days On the Road,0,56,-1
Elbow a Nigga,0,117,-1
Elysian Fields,0,102,-1
Emancipation,0,56,-1
Emotions,0,56,-1
Empathy,0,56,-1
Empty Landscape,0,56,-1
Endless Cemetary,0,56,-1
Endless Love,0,116,-1
Enemy,0,102,-1
English Rose,0,102,-1
Enslaved of Bitterness,0,85,-1
Epistle to Derroll,0,61,-1
Europe Endless,0,14,-1
Evening of the Day,0,102,-1
Ever Lovin' Fingers,0,42,-1
Everlasting Love,0,88,-1
Every Beat of My Heart,0,116,-1
Every Generation Got It's Own Disease,0,56,-1
Everybody Hurts,0,1,-1
Everybody Wants the Same Thing,0,56,-1
Everybody's Laughing,0,18,-1
Everybodys Crying Mercy,0,18,-1
Everyone,0,56,-1
Everything Falls Apart,0,102,-1
Evil Walks,0,102,-1
Evil Woman,0,18,-1
Eviscerated,0,56,-1
Exodus,0,120,-1
Express Yourself,0,2,-1
Eye of the Tiger,0,3,-1
Eyes Shut Tight,0,56,-1
F*** You,0,117,-1
F.I.G.H.T.,0,102,-1
FFF,0,102,-1
Fading Dimensions,0,56,-1
Fairy Tale,0,85,-1
Faking Love,0,42,-1
Fall from Grace,0,56,-1
Fallen,0,102,-1
Fallin' in Love,0,42,-1
Falling in Love Again,0,153,-1
False True Love,0,61,-1
Family Is a Family,0,102,-1
Famlay Freestyle,0,117,-1
Fanatics,0,56,-1
Fanny (Be Tender With My Love),0,2,-1
Farewell Andromeda (Welcome to My Morning),0,42,-1
Father Time,0,65,-1
Fatima,0,117,-1
Fear the Grand Inquisitor,0,85,-1
Feedback,0,56,-1
Feel It,0,102,-1
Feel Like Makin' Love,0,116,-1
Feelin' Sad,0,18,-1
Feels Just Like It Should,0,56,-1
Feels Like the First Time,0,56,-1
Fell in Love With a Boy,0,102,-1
Ferret & Featherbird,0,102,-1
Fetesque,0,102,-1
Fight Back,0,56,-1
Fight Till Death,0,102,-1
Fight or Die,0,56,-1
Fight the Power [Flavor Flav Meets Spike Lee],0,117,-1
Filthy Little Secret,0,102,-1
Find out What's Happening,0,102,-1
Finger Poppin' Time,0,102,-1
Fire and Rain,0,42,-1
Firestorms,0,56,-1
First Noel,0,78,-1
First Weapon of Choice,0,56,-1
Fit But You Know It,0,56,-1
Five Candles (You Were There),0,102,-1
Five Long Years,0,18,-1
Five More to Fix,0,56,-1
Flags of Freedom,0,61,-1
Flame of the Uninspired,0,42,-1
Flesh Storm,0,102,-1
Flesh and Blood,0,85,-1
Flick of the Switch,0,102,-1
Fly Butterfly Fly,0,42,-1
Fly Me to the Moon,0,86,-1
Fmlyhm,0,102,-1
Foolin' Myself,0,18,-1
Footloose,0,102,-1
For What It's Worth,0,56,-1
For Your Entertainment,0,102,-1
For the Love of a Daughter,0,47,-1
For the Thugs,0,117,-1
Forca,0,102,-1
Foreclosure of a Dream,0,77,-1
Forever More (I'll Be the One),0,97,-1
Forever My Lady,0,116,-1
Forgiven,0,88,-1
Forgotten,0,102,-1
Four Down and Twelve Across,0,42,-1
Four Strong Winds,0,42,-1
Fourth of July,0,56,-1
Freak Like Me,0,56,-1
Free,0,116,-1
Freedom,0,56,-1
Frenz,0,56,-1
Friends,0,116,-1
From Victim to Killer,0,56,-1
From the Dark Side,0,117,-1
Fruitcakes,0,102,-1
Fuck the World,0,117,-1
Fuel the Hate,0,102,-1
Fun,0,102,-1
Fun and Games,0,102,-1
"Fun, Fun, Fun",0,39,-1
Fury in My Eyes/Revenge,0,117,-1
GM2 1,0,102,-1
Gangree,0,102,-1
Gangsta Gangsta,0,65,-1
Gear Jammer,0,18,-1
Gentle on My Mind,0,56,-1
Get Back,0,56,-1
Get Out the State,0,102,-1
Get Outta My Life,0,42,-1
Get Raped,0,102,-1
Get Right,0,56,-1
Get Up While You Can,0,56,-1
Geto Boys Will Rock You,0,117,-1
Gets Me Through,0,102,-1
Gettin' High,0,117,-1
Gettin' Some,0,117,-1
Getting Better,0,102,-1
Getting Closer,0,56,-1
Ghetto Booty,0,116,-1
Ghetto Vet,0,117,-1
Ghosts of War,0,102,-1
Giant,0,102,-1
Gilla House Check,0,117,-1
Gilmore's,0,117,-1
Girl From Ipanema,0,85,-1
Girl Talk,0,116,-1
Give 'Em What They Want,0,56,-1
Give Me Back That Wig (Wig Wearing Woman),0,18,-1
Give Me It,0,102,-1
Glad to Be Unhappy,0,86,-1
Glamorous,0,116,-1
Glitches Will Tell,0,56,-1
Glory Days,0,102,-1
Glow,0,116,-1
God Is a DJ [Hyper Remix],0,102,-1
God Is a Lie,0,102,-1
God Loves a Drunk,0,102,-1
God Rest Ye Merry Gentleman,0,78,-1
God Rest Ye Merry Gentlemen,0,78,-1
God Won't Get You,0,42,-1
Godd Complexx,0,117,-1
Goin' Away,0,18,-1
Goin' Down Slow,0,18,-1
Going Down Slow,0,116,-1
Gone Out of My Mind,0,42,-1
Gone with the Sin,0,85,-1
Gonna Get Close to You,0,102,-1
Gonna Make You Sweat (Everybody Dance Now),0,33,-1
Good Good Lovin',0,116,-1
Good Hearted Woman,0,42,-1
Good Luck,0,56,-1
Good Morning Little Schoolgirl,0,18,-1
Good Mourning/Black Friday,0,102,-1
Good Time Feeling,0,56,-1
Good Times,0,33,-1
Good as I Was to You,0,42,-1
Goodnight My Love (Pleasant Dreams),0,102,-1
Gospel Way,0,42,-1
"Got My Mojo Working, Pt. 1",0,18,-1
Got to Make a Comeback,0,18,-1
Gota Let Your Nuts Hang,0,117,-1
Grand Ole Opry Song,0,42,-1
Great Balls of Fire,0,42,-1
Great Lake Swimmers,0,102,-1
Green Grass of Tunnel,0,56,-1
Grown Things,0,102,-1
Guess Things Happen That Way,0,42,-1
Guide Vocal,0,102,-1
Half a Boy and Half a Man,0,88,-1
"Hallelujah, I Love Her So",0,61,-1
Halo of Flies,0,102,-1
Hang On to Yourself,0,102,-1
Happy,0,116,-1
Happy-End,0,56,-1
Harbor Lights,0,116,-1
Hark! The Herald Angels Sing,0,78,-1
Hate Me,0,56,-1
Hate Worldwide,0,102,-1
Have Yourself a Merry Little Christmas,0,78,-1
Have a Beer with Fear,0,102,-1
Having Myself a Time,0,18,-1
He Set Me Free,0,42,-1
He Turned the Water into Wine,0,42,-1
He's Alive,0,42,-1
He's Got His Eye on You,0,122,-1
He's the Greatest Dancer,0,50,-1
Hear Nothing See Nothing Say Nothing,0,102,-1
Heart of Mine,0,116,-1
Heart of Steel,0,102,-1
Heart of Worship,0,42,-1
Heart of a Champion,0,116,-1
Heartaches for a Dime,0,42,-1
Heartbeat,0,102,-1
Heartbreak Hotel,0,102,-1
Heartbreaker,0,102,-1
Heartland,0,56,-1
Heartz of Men,0,117,-1
Heaven Help,0,102,-1
Heaven Is Falling,0,102,-1
Heaven Knows No Pain,0,56,-1
Heavy Makes You Happy (Sha-Na-Boom-Boom),0,56,-1
Hello,0,102,-1
Hello Dolly,0,86,-1
Hello Old Friend,0,102,-1
Hello Sunshine,0,116,-1
Hells Bells,0,77,-1
Help Me Hold On,0,42,-1
Help Me Understand,0,42,-1
Hercules,0,102,-1
Here Comes Santa Claus,0,42,-1
Here Comes That Feeling,0,102,-1
Here Comes the Pain,0,102,-1
Here with Me,0,102,-1
Hey There,0,140,-1
Hey Ya!,0,8,-1
Hey You,0,56,-1
"Hey, Where's Your Girl?",0,102,-1
Hickory Wind,0,102,-1
High Rolling Man,0,102,-1
High Society/You're Sensational,0,86,-1
High on a Hilltop,0,42,-1
Highway to Hell,0,3,-1
His Eyes,0,97,-1
"His Eyes, Her Eyes",0,86,-1
His Hands,0,42,-1
History's Stranglers,0,56,-1
Hobo's Lullaby,0,29,-1
Holy Pedophile,0,56,-1
Holy Wars... The Punnishment Due,0,102,-1
Home,0,2,-1
Honky Tonk Merry-Go Round,0,42,-1
Hood,0,117,-1
Hope for Us All,0,42,-1
Hot Dog,0,102,-1
Hot Stuff,0,56,-1
Hounddogz,0,117,-1
House Gone Up in Flames,0,61,-1
House on the Lake,0,42,-1
How Am I to Know?,0,18,-1
How Can I Help You Say Goodbye,0,42,-1
How Can We Live Like This,0,102,-1
How Could Anyone,0,75,-1
How Could You,0,116,-1
How Deep Is the Ocean?,0,86,-1
How Far Am I from Canaan?,0,122,-1
How I Wish (Ask Me Now),0,86,-1
How Long Blues,0,86,-1
How Many More Years,0,18,-1
How Many Times,0,102,-1
How Many Worlds,0,102,-1
How Much More Can She Stand,0,42,-1
How Sweet It Is (To Be Loved by You),0,102,-1
How to Disappear Completely,0,102,-1
How to Survive in South Central,0,117,-1
Hum-Allah-Hum-Allah-Hum Allah,0,35,-1
Hundred Mile High City,0,102,-1
Hunter,0,4,-1
Hurt,0,42,-1
Hurt Me,0,102,-1
Hybrid Stigmata-The Apostasy,0,102,-1
I Ain't No Joke,0,117,-1
I Ain't With Being Broke,0,117,-1
I Am a Revenant,0,56,-1
I Am the Establishment,0,102,-1
I Am the True Vine,0,18,-1
I Believe,0,122,-1
I Belong to You,0,56,-1
I Can See Now,0,86,-1
